flow_rate_lps,pressure_bar,ph_level,turbidity_ntu,chlorine_ppm,conductivity_us,water_temp_c,anomaly
44.68,4.49,7.32,1.46,1.73,492.6,13.1,0
43.06,5.33,7.27,0.42,1.8,450.3,21.3,0
32.53,4.84,7.45,0.17,1.78,452.1,17.1,0
50.9,5.1,7.25,0.12,1.29,519.1,18.4,0
44.78,4.75,6.83,1.13,0.87,530.6,21.5,0
43.27,5.4,7.49,1.49,0.99,401.6,23.0,0
49.64,4.64,6.64,2.38,1.97,439.3,21.5,0
53.57,4.25,7.85,0.1,1.24,419.8,15.8,0
44.23,4.45,7.33,2.75,2.04,323.8,21.8,0
48.39,5.31,7.19,1.11,1.41,504.4,15.7,0
39.47,3.94,7.62,0.27,1.7,494.8,18.2,0
46.11,5.49,8.58,11.37,0.44,411.1,23.4,1
41.99,4.39,7.1,0.26,2.0,512.9,15.6,0
52.68,4.67,6.84,0.1,1.54,327.9,19.7,0
54.11,3.98,7.32,6.54,1.33,458.6,11.8,0
29.53,4.22,6.88,2.69,1.04,349.1,21.4,0
42.69,4.41,7.29,1.59,1.3,439.3,20.7,0
41.22,5.01,7.23,1.32,1.34,434.9,19.6,0
43.41,5.07,7.74,0.44,1.49,516.0,9.5,0
42.02,4.95,7.11,0.39,1.29,426.6,15.8,0
45.81,8.3,7.21,0.61,1.85,475.9,18.6,1
50.56,5.3,7.15,0.1,2.01,453.7,17.5,0
46.11,3.77,7.36,1.96,1.38,407.6,17.2,0
49.05,4.71,7.31,1.22,1.45,467.0,12.8,0
54.16,4.15,7.08,0.84,1.9,463.7,17.6,0
43.66,3.48,7.04,0.34,1.57,386.9,20.2,0
41.23,4.15,7.24,1.25,1.63,431.4,10.4,0
40.94,3.83,7.08,0.57,1.6,457.1,18.2,0
39.91,4.4,7.58,2.96,1.62,397.7,26.3,0
41.26,3.99,7.14,0.22,1.46,474.3,16.9,0
22.14,3.26,7.31,0.14,1.8,405.3,19.1,1
49.05,4.19,7.41,0.99,1.99,443.9,20.0,0
48.7,4.29,7.2,1.41,1.46,460.6,23.3,0
46.39,3.82,7.28,3.72,1.53,456.5,24.6,0
45.79,4.26,6.96,0.93,1.53,518.5,18.2,0
41.8,3.44,6.87,2.38,1.34,331.8,17.9,0
35.11,9.26,7.41,0.14,1.23,376.6,18.0,1
37.04,3.16,7.41,8.47,0.72,562.4,18.8,0
44.65,4.41,7.45,0.41,2.0,438.4,17.6,0
40.14,4.17,7.75,1.68,1.53,429.7,19.1,0
46.67,5.23,7.43,0.21,1.18,460.1,14.9,0
57.58,5.04,7.3,0.49,1.92,477.8,14.5,0
45.73,4.2,7.22,1.63,1.68,411.1,16.6,0
40.73,5.02,7.48,0.79,1.58,438.6,13.6,0
45.74,4.61,6.72,0.41,1.87,529.8,28.2,0
6.18,7.23,7.48,0.19,1.03,447.0,15.9,1
43.98,4.7,7.13,1.02,2.13,373.8,10.4,0
48.05,5.15,7.54,8.21,1.63,448.3,18.1,0
2.93,9.01,7.17,0.76,2.12,432.2,20.7,1
41.72,4.96,6.87,1.23,1.36,407.3,13.3,0
44.29,3.9,7.3,2.08,1.39,497.3,30.4,0
47.13,4.13,6.67,0.79,1.35,380.3,17.4,0
40.43,4.71,7.65,3.39,1.29,423.1,17.0,0
50.36,4.64,6.87,0.89,1.65,446.7,23.4,0
34.62,9.32,7.24,3.19,1.92,382.1,21.3,1
39.17,4.57,7.63,1.0,1.69,422.8,22.9,0
46.06,5.02,7.7,0.59,1.96,427.6,24.0,0
45.29,3.63,7.14,33.67,0.18,458.4,17.3,1
51.22,4.28,7.4,1.93,1.92,463.6,19.1,0
40.28,9.08,7.23,1.5,1.26,485.9,15.0,1
39.25,4.64,8.53,26.31,0.53,502.5,15.6,1
44.91,4.36,7.18,0.94,1.32,502.9,12.0,0
56.34,3.94,7.05,0.91,1.42,570.2,18.6,0
40.66,5.05,7.9,1.18,1.39,483.5,11.6,0
51.46,4.51,8.17,25.67,0.24,476.9,16.2,1
38.76,4.02,7.09,1.39,1.59,447.2,26.1,0
50.04,3.78,7.45,1.54,0.89,484.9,14.3,0
45.22,4.7,7.07,0.19,1.29,465.9,15.4,0
45.13,4.03,7.24,0.1,0.58,471.5,17.1,0
44.25,3.98,6.99,0.12,1.49,452.1,9.6,0
36.08,4.6,7.35,4.18,1.6,492.4,20.7,0
39.78,4.44,7.15,0.46,1.09,456.5,18.9,0
47.92,5.61,6.98,2.16,1.45,503.2,16.2,0
46.93,4.81,7.64,2.74,1.62,460.1,18.4,0
44.82,4.65,7.33,0.1,1.51,519.1,12.4,0
43.36,4.41,6.86,0.1,1.55,460.6,17.5,0
48.41,12.56,7.54,1.96,1.49,366.9,20.0,1
38.72,4.25,6.92,1.64,1.6,404.6,21.0,0
57.17,7.63,7.25,1.06,2.03,428.7,19.5,1
39.11,4.46,6.9,0.35,1.27,484.0,17.6,0
13.15,1.67,7.64,0.48,1.63,483.3,19.6,1
49.93,3.52,7.51,1.11,1.38,425.6,19.0,0
49.27,5.16,7.01,0.95,2.0,473.3,15.6,0
38.16,5.04,7.34,0.7,1.5,415.8,20.0,0
41.28,4.51,7.44,1.25,1.32,423.5,17.2,0
44.36,4.21,6.88,0.29,1.7,382.8,26.1,0
44.0,4.37,7.23,0.43,1.7,427.2,17.9,0
50.48,4.32,7.32,1.1,1.48,420.5,15.2,0
45.71,5.11,7.41,0.89,1.61,422.8,17.0,0
47.26,3.89,7.67,0.98,1.4,432.2,16.8,0
45.76,4.04,6.94,0.67,1.76,475.9,20.7,0
51.75,4.82,7.35,2.83,1.5,493.7,22.2,0
47.77,5.34,7.62,5.85,1.79,464.9,19.7,0
45.05,5.22,6.86,1.12,1.33,366.5,21.3,0
48.68,5.09,7.33,0.1,1.48,531.3,16.5,0
7.44,8.02,7.24,0.55,1.58,450.0,24.7,1
47.26,4.84,7.33,0.17,0.61,422.0,24.8,0
47.33,4.66,7.37,0.44,1.82,527.4,13.6,0
20.65,1.78,7.26,0.48,1.27,405.9,11.9,1
44.75,5.55,7.47,2.19,1.69,449.7,11.6,0
39.53,8.96,7.06,0.1,1.98,444.2,16.5,1
50.02,4.43,7.19,0.1,1.53,491.5,18.0,0
48.06,3.17,7.24,2.41,0.91,447.2,17.1,0
49.06,4.77,7.8,2.09,1.13,427.3,18.7,0
44.82,4.05,7.09,0.43,1.36,431.9,15.1,0
45.92,5.23,7.3,0.81,1.8,438.9,10.7,0
42.67,3.83,7.46,0.23,1.87,364.9,21.8,0
47.1,3.52,7.41,1.22,1.15,410.5,12.6,0
48.78,4.85,7.56,1.79,1.52,489.6,18.8,0
45.54,4.08,7.42,0.22,1.33,456.7,18.7,0
38.83,5.06,6.59,0.56,0.98,422.5,20.6,0
36.89,3.62,7.55,0.98,1.09,446.6,16.1,0
52.61,3.96,7.13,3.41,1.46,388.7,12.6,0
47.48,3.82,7.11,0.69,1.85,428.2,21.2,0
46.36,5.08,7.25,0.82,1.5,403.9,19.1,0
45.06,4.13,7.6,1.29,2.17,384.5,19.9,0
36.06,4.37,7.15,0.34,1.45,423.9,13.0,0
36.8,3.79,6.62,1.15,1.28,409.0,13.5,0
49.58,4.39,7.45,0.46,1.39,587.5,15.3,0
39.99,5.35,7.16,0.26,1.65,443.5,18.4,0
41.25,4.53,7.48,2.12,1.56,427.9,18.4,0
36.19,4.57,7.2,2.86,1.16,478.8,11.2,0
44.11,4.31,6.82,7.76,1.53,462.3,20.8,0
50.67,5.29,7.23,3.67,1.43,442.0,24.0,0
38.22,3.5,6.7,0.77,1.48,434.6,23.6,0
57.89,4.65,7.26,0.1,1.83,430.2,15.4,0
48.93,4.63,7.13,2.25,1.68,408.9,16.5,0
53.35,3.94,7.62,0.51,1.68,423.2,13.7,0
41.43,4.7,6.78,0.43,1.59,462.7,16.0,0
38.6,4.68,6.56,2.84,1.26,392.1,10.9,0
46.72,3.99,7.8,0.3,1.36,445.7,12.5,0
36.39,9.45,7.54,2.36,1.68,439.8,16.6,1
55.16,4.27,7.39,3.7,1.73,420.1,16.9,0
7.39,7.5,7.1,8.61,1.51,431.0,14.8,1
47.72,4.71,7.4,1.72,1.84,459.6,13.1,0
45.24,4.04,6.41,1.86,1.88,392.3,20.2,0
46.53,4.66,7.27,0.6,1.22,424.4,17.1,0
46.82,5.31,6.85,1.65,1.17,432.0,20.9,0
48.55,4.3,7.1,0.99,1.8,463.7,18.2,0
45.55,4.72,7.57,3.1,1.62,452.4,19.7,0
44.28,4.6,7.4,2.24,1.78,405.9,13.8,0
51.09,3.76,7.08,0.73,1.53,434.2,23.6,0
51.98,4.87,7.57,1.27,1.45,371.3,20.8,0
47.99,4.51,6.96,0.34,1.62,514.4,23.8,0
47.71,4.21,7.64,0.75,1.31,384.4,17.5,0
41.68,4.64,7.21,1.17,1.33,424.2,22.4,0
9.89,8.3,7.26,1.4,0.96,454.6,11.0,1
5.94,8.08,7.0,3.66,1.5,461.6,10.6,1
42.26,4.07,6.71,8.65,1.73,487.0,21.7,0
49.8,4.47,6.92,0.22,1.92,381.8,10.0,0
39.11,3.74,6.75,0.51,1.64,540.8,27.4,0
44.48,4.01,6.94,0.41,1.73,454.1,14.5,0
38.64,4.71,7.04,2.41,1.46,435.6,15.5,0
49.02,6.19,7.19,0.48,1.53,463.1,13.7,0
39.2,4.71,6.94,2.93,1.32,409.4,18.7,0
43.71,4.26,7.62,0.1,1.63,500.2,15.1,0
37.22,3.94,7.72,3.04,1.1,462.1,20.8,0
46.75,4.51,6.6,0.22,2.26,498.6,18.8,0
39.02,4.29,7.61,0.53,1.81,460.2,17.6,0
46.0,4.79,7.07,1.08,1.35,451.2,14.7,0
46.44,11.46,7.01,0.82,1.15,472.4,18.2,1
45.34,4.26,7.01,0.88,1.79,452.2,15.2,0
36.72,4.07,7.07,0.28,1.45,442.1,20.1,0
48.62,4.67,7.43,0.32,1.85,458.1,16.5,0
44.96,4.45,7.19,27.4,0.47,397.5,14.2,1
42.88,4.13,6.5,22.73,0.53,501.6,12.4,1
39.08,4.46,5.65,16.36,0.21,391.6,16.5,1
46.68,4.89,7.17,0.57,1.19,536.9,21.1,0
35.43,4.79,7.15,1.07,2.02,451.4,19.7,0
43.61,3.76,7.71,5.94,1.16,456.9,10.4,0
43.28,3.51,7.19,0.61,1.38,484.5,29.4,0
37.98,4.5,7.35,0.27,1.73,492.0,17.3,0
45.65,4.43,7.18,0.1,1.7,394.4,21.4,0
44.69,7.11,7.41,0.9,1.22,531.3,15.7,1
53.27,4.94,6.87,1.93,1.8,425.8,14.3,0
46.27,4.92,6.69,0.84,1.63,465.1,22.7,0
50.92,5.37,7.28,0.18,1.77,413.1,21.3,0
48.98,4.04,7.23,0.75,1.82,523.0,27.9,0
3.11,6.84,6.89,0.69,1.47,447.3,18.4,1
51.39,5.27,6.64,0.85,1.2,486.8,12.6,0
42.85,5.33,7.1,3.19,1.15,563.6,14.8,0
45.61,10.28,7.25,0.48,1.83,434.2,16.7,1
5.95,8.48,7.17,0.63,1.46,490.3,28.1,1
52.42,5.36,7.58,0.48,1.18,489.4,15.8,0
38.23,4.01,7.35,0.1,2.04,399.7,13.5,0
50.84,4.66,7.27,1.53,1.43,488.8,15.8,0
43.77,4.92,7.15,0.19,1.35,443.3,26.6,0
38.62,4.25,6.84,0.47,1.9,427.2,22.2,0
46.5,4.51,7.25,1.57,1.85,428.2,18.6,0
53.93,4.76,7.06,0.59,1.76,565.5,17.9,0
49.76,4.75,6.81,0.3,1.73,475.0,14.9,0
37.47,3.83,7.06,0.14,1.29,453.7,17.9,0
45.93,4.03,6.82,0.1,1.67,455.6,18.2,0
53.25,4.07,6.85,0.74,1.9,432.3,15.2,0
49.83,4.97,7.12,0.42,1.59,468.9,16.2,0
41.95,4.73,7.53,0.39,1.24,436.5,18.8,0
38.93,4.58,6.87,1.18,1.89,503.2,18.7,0
46.15,5.15,7.34,0.38,1.02,496.6,17.8,0
41.89,4.09,6.45,0.63,1.08,439.5,18.1,0
53.75,4.42,7.46,2.13,1.88,443.8,15.4,0
53.48,4.19,7.01,3.11,0.89,479.8,19.1,0
43.05,4.5,6.89,1.77,1.89,441.4,20.0,0
33.59,3.68,7.14,0.7,1.72,453.1,9.2,0
45.61,4.6,7.19,3.88,1.68,417.0,14.2,0
42.43,4.95,6.95,1.46,1.88,516.8,22.4,0
45.61,4.55,6.95,1.84,1.2,388.8,20.9,0
5.15,9.11,7.05,1.28,1.66,459.2,19.1,1
50.57,4.2,7.52,0.16,1.1,494.7,18.1,0
41.46,4.22,6.81,0.53,1.71,439.3,17.7,0
52.21,5.68,7.38,1.53,1.05,437.7,22.1,0
44.31,9.88,7.29,0.11,0.69,453.9,21.0,1
38.36,3.14,6.59,0.17,1.67,552.6,19.0,0
36.86,3.48,7.02,1.88,1.24,496.6,17.6,0
47.1,4.96,7.4,0.1,1.52,510.2,20.9,0
40.81,4.84,7.01,0.19,1.49,437.1,15.5,0
9.12,2.6,7.44,1.59,1.0,413.7,11.0,1
52.3,4.39,7.53,0.25,1.52,482.1,17.2,0
52.32,4.38,6.65,0.87,1.32,431.5,13.8,0
44.39,5.08,7.32,0.3,1.49,511.1,17.8,0
35.71,4.43,7.51,0.66,1.56,463.1,19.7,0
48.09,4.86,6.98,0.72,1.73,420.1,17.2,0
44.29,4.78,6.93,1.97,1.32,490.3,14.4,0
53.92,4.44,7.24,1.37,1.78,474.0,14.5,0
31.98,4.29,7.64,1.51,1.53,530.2,18.4,0
45.31,4.24,7.28,0.52,1.29,474.3,17.8,0
10.22,1.59,7.17,1.4,1.57,516.7,18.4,1
45.82,4.59,7.16,2.18,0.92,441.8,20.0,0
40.09,4.21,7.49,1.28,1.47,433.0,16.6,0
50.3,4.99,6.89,0.92,1.65,363.5,17.5,0
45.47,4.99,5.62,18.85,0.26,420.3,19.6,1
49.2,5.11,7.55,0.75,1.42,468.0,16.1,0
46.69,3.39,7.41,0.72,1.7,481.8,21.7,0
57.61,4.35,7.02,3.69,1.45,402.6,16.7,0
51.75,4.87,7.56,1.43,1.32,439.2,20.8,0
49.15,4.1,7.29,0.34,1.6,443.1,21.6,0
39.81,4.72,6.86,1.58,1.51,440.1,16.2,0
43.17,4.37,6.94,6.12,1.84,489.8,14.2,0
38.53,4.59,7.43,2.23,1.22,507.5,22.9,0
43.62,4.68,7.37,3.62,1.84,436.4,17.7,0
18.75,2.24,7.03,0.79,1.81,488.8,14.5,1
36.8,5.1,7.13,0.18,1.77,457.4,23.3,0
45.34,8.31,7.15,3.19,0.83,416.5,6.7,1
50.94,4.59,7.65,0.74,2.13,470.6,18.1,0
51.46,8.8,7.05,0.62,1.26,445.1,16.6,1
44.44,3.89,7.02,2.9,0.91,484.6,23.0,0
46.89,4.35,7.07,3.32,1.36,503.7,13.5,0
46.16,4.66,6.31,17.94,0.33,470.5,17.2,1
41.23,4.51,7.82,0.34,1.35,520.4,21.6,0
40.73,5.04,7.32,1.48,1.44,486.4,12.7,0
40.88,3.83,7.33,1.26,1.14,500.1,18.2,0
56.33,5.25,7.88,0.24,1.35,426.5,17.6,0
44.6,5.1,7.37,0.66,0.94,454.8,9.9,0
46.74,4.7,6.78,0.78,1.48,444.9,19.0,0
23.82,1.81,6.67,4.88,1.82,378.8,26.1,1
45.3,5.22,7.44,2.88,1.54,441.0,13.1,0
45.03,3.84,6.8,2.84,2.15,438.5,16.5,0
52.04,3.71,7.39,1.72,1.78,450.4,17.4,0
47.28,3.96,7.21,17.63,0.52,392.2,18.4,1
44.56,4.41,7.16,3.38,1.48,525.0,18.8,0
42.57,4.15,7.03,4.64,1.64,418.5,12.6,0
36.63,4.27,7.14,3.67,1.18,515.3,15.4,0
59.46,4.11,7.25,0.68,2.02,447.4,15.2,0
45.14,4.68,6.98,1.74,1.62,313.7,19.2,0
51.81,4.87,7.12,1.02,1.5,437.6,10.1,0
42.67,5.27,7.33,2.66,1.56,504.3,13.9,0
49.95,4.72,7.48,2.02,1.52,414.6,20.6,0
49.63,5.0,6.93,0.16,2.29,348.9,22.3,0
34.07,4.63,7.16,4.5,1.36,419.7,20.8,0
47.41,3.96,7.45,5.4,1.81,440.6,16.4,0
50.57,4.18,9.07,19.24,0.43,459.9,14.5,1
41.63,3.6,7.29,1.84,1.53,464.6,17.8,0
51.83,4.56,7.11,0.27,1.19,430.5,17.1,0
45.44,3.34,6.6,1.3,1.46,474.0,17.1,0
49.42,4.5,7.43,1.44,1.86,458.9,18.4,0
44.72,4.62,7.57,0.73,1.29,456.1,18.0,0
4.43,8.02,7.09,3.37,1.94,453.1,18.3,1
41.53,5.06,7.43,3.98,1.77,516.2,21.2,0
46.91,3.97,7.3,0.14,1.11,435.9,15.3,0
56.17,4.3,7.04,0.41,1.48,463.3,22.7,0
51.74,3.59,5.24,23.14,0.42,381.8,13.7,1
51.86,4.51,7.88,3.32,1.19,452.0,19.2,0
41.02,5.25,6.43,1.32,1.51,508.5,16.1,0
57.42,5.19,7.08,0.52,0.96,479.1,14.2,0
45.95,4.39,7.28,5.29,1.28,425.3,19.4,0
45.4,4.18,7.15,0.11,1.32,407.0,20.1,0
46.01,4.8,7.27,1.38,1.23,452.2,10.1,0
43.19,4.72,7.34,0.26,1.18,449.4,16.0,0
47.77,4.65,7.75,0.13,1.44,299.3,18.8,0
34.79,4.98,6.87,0.11,1.64,452.3,16.7,0
31.05,4.28,7.08,1.36,0.83,495.1,16.7,0
44.45,5.27,7.0,1.34,1.53,485.5,16.6,0
50.23,3.85,7.43,0.1,1.86,409.8,15.0,0
40.91,4.47,7.48,2.87,1.88,533.5,16.6,0
41.13,5.67,8.72,23.68,0.44,440.5,24.4,1
39.8,4.36,7.0,0.59,1.75,459.2,24.4,0
42.67,4.27,7.39,0.6,1.39,500.7,18.8,0
37.71,4.77,7.28,0.46,1.31,481.8,22.4,0
45.69,5.06,7.34,3.45,1.53,483.4,12.6,0
44.78,4.41,6.91,1.99,1.86,441.9,10.9,0
48.97,3.93,6.97,5.06,1.68,380.4,12.0,0
45.07,4.14,7.05,3.16,1.77,515.2,18.8,0
44.09,3.92,7.1,6.84,1.92,515.6,27.5,0
46.79,3.92,7.26,1.69,2.08,469.4,20.3,0
43.98,4.27,7.41,2.5,1.94,535.4,17.0,0
55.56,4.28,7.44,1.49,1.65,457.6,11.2,0
42.54,3.83,7.48,2.2,1.1,400.7,17.0,0
47.21,4.26,6.79,1.03,1.64,492.5,25.6,0
47.21,4.76,8.22,3.26,1.5,461.3,11.2,0
3.79,5.3,7.35,1.65,1.46,451.7,14.5,1
36.94,5.37,7.32,1.66,1.57,474.4,14.4,0
48.07,4.8,7.25,0.39,1.58,551.4,17.4,0
42.35,5.1,7.66,6.17,1.37,442.1,13.9,0
35.29,4.3,7.52,0.36,1.48,503.5,15.3,0
40.45,3.64,6.98,0.22,1.57,465.7,19.6,0
48.58,4.44,7.17,2.46,1.06,497.1,21.9,0
42.43,4.13,7.14,4.56,1.33,474.3,14.8,0
39.54,4.74,7.41,0.1,1.27,461.3,15.8,0
52.95,11.0,7.15,0.7,1.6,449.1,23.1,1
46.48,4.85,7.24,3.82,1.19,395.7,16.3,0
51.54,4.54,6.98,1.19,1.28,336.7,21.9,0
48.34,4.89,7.32,2.61,1.82,468.2,18.1,0
37.61,4.06,6.71,2.81,1.19,358.5,18.2,0
50.88,4.17,7.35,0.28,1.36,373.0,17.5,0
44.18,4.85,6.6,1.97,1.37,405.4,17.5,0
47.84,5.35,7.08,1.44,1.01,349.8,31.4,0
39.66,4.8,7.01,5.89,1.33,344.7,11.6,0
42.76,4.34,6.93,0.97,1.03,495.5,20.7,0
44.29,5.01,7.26,0.1,1.4,442.2,22.1,0
37.17,4.07,7.04,0.22,1.05,410.5,17.8,0
42.37,3.98,7.04,3.75,1.49,517.0,15.4,0
38.4,4.07,6.84,0.78,1.49,495.9,20.9,0
46.12,4.04,6.72,0.1,1.24,462.5,17.5,0
47.65,4.63,7.85,7.02,1.25,447.7,20.2,0
48.07,4.6,7.26,3.69,1.42,494.9,13.0,0
41.2,5.3,7.42,2.04,1.09,419.2,19.0,0
43.52,4.71,7.1,1.74,1.26,410.5,20.9,0
44.44,4.49,7.57,0.43,0.94,530.2,10.0,0
55.13,11.52,6.73,0.69,1.61,455.7,23.2,1
17.46,2.33,7.07,0.44,1.42,390.1,20.8,1
5.85,9.23,7.17,4.59,2.12,489.5,23.2,1
41.48,4.84,7.45,2.2,1.13,326.7,19.3,0
49.94,3.24,7.26,2.07,1.31,430.4,24.7,0
53.2,4.14,7.23,0.58,2.26,469.0,21.1,0
43.37,4.7,6.6,0.1,0.98,436.9,17.8,0
41.92,4.84,7.33,0.48,1.63,505.1,20.6,0
48.45,4.69,7.28,1.43,1.59,428.0,16.1,0
36.68,5.26,7.21,0.24,1.43,597.6,20.1,0
51.63,5.11,7.62,13.16,0.45,466.3,14.8,1
40.01,4.69,7.7,0.65,1.7,440.6,22.8,0
42.55,4.38,6.94,0.69,1.27,416.9,14.3,0
39.45,4.75,7.0,1.12,1.56,412.6,14.9,0
44.04,4.69,7.64,2.15,1.29,474.8,18.1,0
44.46,4.76,7.33,0.27,1.7,412.2,18.6,0
40.99,4.09,6.98,0.1,1.71,469.4,19.5,0
53.87,3.5,7.01,3.18,1.72,393.4,18.9,0
40.43,5.29,6.44,1.37,1.23,374.3,25.4,0
45.25,5.35,7.64,25.34,0.5,484.7,16.4,1
47.11,4.47,6.99,0.55,1.26,430.4,10.6,0
38.73,4.36,6.77,0.31,1.9,430.0,13.2,0
39.48,4.54,7.13,1.4,1.89,404.0,16.2,0
33.49,4.71,7.16,0.36,1.99,440.5,16.3,0
43.75,4.68,7.12,0.45,1.35,398.2,17.0,0
45.57,4.44,6.85,0.43,1.12,389.5,9.8,0
46.49,4.12,7.49,1.17,1.29,492.9,22.9,0
44.42,4.2,7.19,2.37,0.87,444.8,16.9,0
6.47,6.29,7.28,1.42,1.25,475.3,18.3,1
47.69,4.4,7.54,2.09,1.52,463.9,11.3,0
44.76,4.38,7.2,4.22,1.4,393.0,19.7,0
45.91,4.63,7.87,4.54,1.56,465.9,16.1,0
39.4,3.51,7.29,0.1,1.74,482.3,16.6,0
42.03,4.9,6.96,4.07,1.91,491.0,14.0,0
47.13,4.49,6.98,1.88,1.46,454.2,13.1,0
40.67,4.5,7.21,0.33,1.63,456.4,18.2,0
51.08,4.93,6.56,0.22,2.05,384.8,21.6,0
49.02,4.74,7.46,1.42,0.71,364.1,22.7,0
44.26,4.84,7.27,0.84,1.33,396.3,18.9,0
40.17,3.56,7.59,0.47,1.27,444.1,21.4,0
43.77,3.9,7.13,5.87,1.98,421.9,12.5,0
46.46,4.46,7.37,0.83,1.88,510.3,17.8,0
50.13,4.59,7.42,2.18,1.83,468.3,15.7,0
41.32,5.42,7.38,1.87,1.39,427.9,18.2,0
37.84,4.1,7.51,0.4,2.03,439.6,16.8,0
48.83,5.1,7.13,0.24,1.68,413.7,19.7,0
45.21,5.06,7.31,4.14,1.23,480.6,11.4,0
53.96,3.39,7.54,3.38,1.23,520.9,15.0,0
49.35,3.9,7.24,2.24,1.68,459.3,22.7,0
41.65,4.83,7.33,2.5,1.57,481.7,21.1,0
42.79,4.47,7.52,2.26,1.07,464.9,26.9,0
48.19,4.49,7.55,0.43,1.59,421.9,16.1,0
36.38,3.65,5.85,11.69,0.14,407.6,16.6,1
45.72,5.18,6.86,0.44,1.56,462.9,15.6,0
40.94,5.02,7.23,0.21,1.36,433.8,19.7,0
48.79,4.35,6.97,0.92,1.48,465.3,22.0,0
41.7,4.72,7.13,1.97,1.74,416.8,13.8,0
44.53,4.86,7.1,1.05,1.78,437.3,28.2,0
38.54,4.45,7.55,1.42,1.3,435.4,17.5,0
51.61,5.19,7.32,4.81,1.0,458.1,21.9,0
43.35,4.48,7.96,0.29,1.82,515.5,21.3,0
43.33,4.63,7.45,1.33,1.52,492.3,17.6,0
47.09,4.24,7.45,0.1,1.38,466.7,15.4,0
46.27,5.07,6.81,0.64,1.32,440.0,16.0,0
47.81,5.14,6.96,1.54,1.49,588.8,21.8,0
43.19,4.75,8.09,18.17,0.19,375.1,19.7,1
50.85,5.06,7.09,0.22,1.62,406.9,11.3,0
50.78,4.79,7.4,0.56,1.2,473.2,15.2,0
37.45,3.98,7.52,14.53,0.23,435.3,21.5,1
61.4,4.22,7.7,2.58,1.73,416.5,21.5,0
44.53,3.98,7.13,1.06,1.62,484.6,19.5,0
54.82,5.08,7.21,0.51,1.44,464.6,16.8,0
48.91,3.8,7.33,1.02,1.67,404.9,15.3,0
47.67,4.59,7.45,2.81,1.44,445.3,12.7,0
46.16,4.45,6.96,0.71,1.84,398.5,19.9,0
47.86,4.32,7.24,2.67,1.29,437.4,15.1,0
47.34,4.24,7.65,18.45,0.11,458.0,17.6,1
37.44,4.25,6.93,1.62,1.48,462.7,18.7,0
43.18,4.7,7.04,0.1,1.38,425.6,20.3,0
42.32,3.76,7.31,9.18,1.46,417.0,20.0,0
44.66,3.75,7.03,0.24,1.38,433.1,19.8,0
42.18,4.9,6.96,2.93,1.17,423.5,17.6,0
44.52,3.99,7.25,0.1,1.19,490.5,8.9,0
43.73,3.62,7.17,3.04,1.76,454.7,26.0,0
40.22,4.87,7.53,1.98,1.9,538.0,24.6,0
47.57,4.19,7.51,1.05,1.84,451.9,9.8,0
54.48,4.27,6.94,3.55,1.5,370.9,21.8,0
43.51,3.77,7.64,1.97,1.4,410.4,18.1,0
43.98,5.13,7.39,0.42,1.36,392.0,23.6,0
49.51,8.14,7.53,2.85,1.37,426.7,22.7,1
46.29,4.43,6.99,1.16,1.38,500.4,26.1,0
40.82,4.41,7.51,0.1,1.21,432.5,11.7,0
47.43,4.39,6.82,1.69,1.66,417.9,24.5,0
46.15,4.02,6.94,0.28,1.77,510.1,17.9,0
53.67,5.19,7.46,0.78,1.52,447.9,15.4,0
3.15,6.59,7.03,0.1,1.45,454.5,11.0,1
44.88,5.26,7.04,0.69,1.53,391.7,18.5,0
47.16,4.18,7.87,2.02,1.52,522.5,20.2,0
44.54,3.83,5.25,15.5,0.55,495.0,23.8,1
58.85,5.36,6.84,0.67,1.22,475.8,18.9,0
42.09,3.9,7.47,5.17,1.35,508.1,17.4,0
39.19,5.64,7.33,0.36,1.36,464.3,16.9,0
42.13,3.75,7.08,1.78,2.11,368.0,19.3,0
49.07,4.94,7.15,1.86,1.64,441.5,18.3,0
44.36,4.79,7.14,0.46,1.75,391.6,17.7,0
44.43,4.78,6.78,1.31,1.61,499.3,18.6,0
52.81,4.72,7.39,0.84,1.22,503.1,20.0,0
43.45,4.34,6.99,0.3,1.68,367.6,20.7,0
39.11,4.31,7.2,1.7,1.37,423.4,14.9,0
38.8,3.96,7.41,0.63,1.79,393.0,22.8,0
7.64,9.88,6.99,0.23,1.95,410.2,17.1,1
45.95,3.96,6.88,1.06,2.22,420.3,14.6,0
47.52,4.36,7.32,0.31,1.19,378.1,17.9,0
48.35,3.48,7.13,0.1,1.71,428.0,22.9,0
51.39,3.58,7.21,1.0,0.68,496.3,22.3,0
47.06,3.34,7.44,1.28,1.49,520.9,27.5,0
52.47,4.89,7.48,1.72,1.93,434.6,15.8,0
41.0,4.94,7.1,0.76,1.21,421.7,12.7,0
48.09,8.39,7.77,0.37,1.75,471.9,15.8,1
50.75,3.62,6.97,0.11,1.39,417.2,13.9,0
36.62,4.56,7.23,0.55,1.76,384.6,20.2,0
42.42,4.47,7.67,0.4,1.73,441.3,12.6,0
6.58,8.69,7.02,0.32,1.54,494.9,13.5,1
49.38,4.5,7.16,0.59,1.47,427.7,13.6,0
50.36,4.32,7.08,2.05,1.25,518.2,25.7,0
41.76,4.79,7.07,0.87,1.46,428.7,17.7,0
59.95,4.74,7.49,2.48,1.75,501.3,16.5,0
