UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1220,L1220,L,301.1,313.6,2021,41.9,76,0,0,0,0,0,0
1221,M1221,M,297.4,308.1,1471,43.9,104,0,0,0,0,0,0
1222,M1222,M,299.5,309.7,1643,35.9,111,0,0,0,0,0,0
1223,L1223,L,297.0,308.4,1959,46.9,184,1,0,0,1,0,0
1224,L1224,L,299.1,310.3,1490,45.5,30,0,0,0,0,0,0
1225,L1225,L,298.6,308.4,1677,44.0,8,0,0,0,0,0,0
1226,L1226,L,306.5,315.4,1552,45.9,158,0,0,0,0,0,0
1227,M1227,M,300.2,310.9,1468,35.3,221,0,0,0,0,0,0
1228,L1228,L,302.9,311.8,1607,39.7,232,1,1,0,0,0,0
1229,L1229,L,298.4,309.6,1292,46.4,32,0,0,0,0,0,0
1230,M1230,M,302.6,312.0,1444,47.3,108,0,0,0,0,0,0
1231,M1231,M,298.7,307.6,1336,47.9,131,0,0,0,0,0,0
1232,L1232,L,299.2,308.1,1447,24.4,8,0,0,0,0,0,0
1233,L1233,L,303.0,313.4,1297,20.1,152,1,0,0,1,0,0
1234,L1234,L,298.3,307.4,1459,24.4,119,0,0,0,0,0,0
1235,M1235,M,299.7,310.2,1611,33.2,24,0,0,0,0,0,0
1236,M1236,M,299.6,308.9,1655,48.9,25,0,0,0,0,0,0
1237,H1237,H,301.4,311.0,1615,42.5,201,1,1,0,0,0,0
1238,M1238,M,302.4,313.4,1468,33.7,207,1,1,0,0,0,0
1239,M1239,M,301.0,311.9,1372,26.3,146,0,0,0,0,0,0
1240,M1240,M,300.9,311.2,1531,34.0,36,0,0,0,0,0,0
1241,L1241,L,300.0,308.9,1585,45.5,167,0,0,0,0,0,0
1242,H1242,H,298.9,307.8,1426,56.6,7,0,0,0,0,0,0
1243,M1243,M,303.8,314.5,1752,37.0,221,1,1,0,0,0,0
1244,L1244,L,301.8,309.3,1481,29.4,68,0,0,0,0,0,0
1245,L1245,L,298.7,307.6,1862,60.5,203,1,1,0,1,1,0
1246,L1246,L,299.2,307.8,1679,31.3,150,0,0,0,0,0,0
1247,M1247,M,297.8,307.0,1572,29.9,215,1,1,0,0,0,0
1248,M1248,M,301.5,312.1,1855,44.7,233,1,1,0,0,0,0
1249,L1249,L,302.2,310.0,1274,48.3,147,1,0,1,0,0,0
1250,M1250,M,296.6,305.4,1795,44.0,8,0,0,0,0,0,0
1251,L1251,L,299.2,310.2,1600,15.9,21,1,0,0,1,0,0
1252,M1252,M,297.7,306.3,1604,50.5,57,0,0,0,0,0,0
1253,L1253,L,301.3,312.1,1755,49.6,222,1,0,0,1,1,0
1254,L1254,L,300.8,309.3,1575,42.2,183,0,0,0,0,0,0
1255,M1255,M,299.6,308.8,1408,43.6,131,0,0,0,0,0,0
1256,H1256,H,300.4,310.4,1534,48.8,110,0,0,0,0,0,0
1257,M1257,M,299.8,309.0,1664,45.4,42,0,0,0,0,0,0
1258,M1258,M,301.8,312.1,1509,30.7,165,0,0,0,0,0,0
1259,M1259,M,300.7,311.1,1653,39.3,45,0,0,0,0,0,0
1260,L1260,L,300.3,310.5,1036,48.4,158,0,0,0,0,0,0
1261,L1261,L,301.4,310.7,1567,39.1,175,0,0,0,0,0,0
1262,M1262,M,299.9,309.0,1241,23.6,29,1,0,0,1,0,0
1263,M1263,M,296.4,304.4,1821,51.3,154,1,0,0,1,0,0
1264,L1264,L,299.1,309.2,1292,39.3,169,0,0,0,0,0,0
1265,H1265,H,298.5,309.3,1309,48.5,38,0,0,0,0,0,0
1266,L1266,L,303.3,313.0,1568,46.9,206,0,0,0,0,0,0
1267,L1267,L,297.8,306.7,1551,51.7,199,0,0,0,0,0,0
1268,L1268,L,304.3,315.2,1575,52.6,27,0,0,0,0,0,0
1269,M1269,M,298.3,306.9,1417,29.9,191,0,0,0,0,0,0
1270,L1270,L,300.9,310.9,1793,48.0,128,1,0,0,1,0,0
1271,L1271,L,299.1,310.9,1437,56.8,179,0,0,0,0,0,0
1272,M1272,M,297.9,309.0,1407,29.8,155,0,0,0,0,0,0
1273,L1273,L,295.5,304.1,1326,34.3,89,0,0,0,0,0,0
1274,M1274,M,302.5,311.2,1483,36.6,185,0,0,0,0,0,0
1275,L1275,L,302.4,313.9,1429,36.3,113,0,0,0,0,0,0
1276,L1276,L,299.7,310.6,1704,38.4,204,1,1,0,0,0,0
1277,L1277,L,299.9,309.5,1597,32.1,119,0,0,0,0,0,0
1278,M1278,M,296.5,307.0,1537,40.0,41,0,0,0,0,0,0
1279,L1279,L,298.8,309.7,1445,26.0,45,0,0,0,0,0,0
1280,L1280,L,299.4,308.9,1439,35.4,103,0,0,0,0,0,0
1281,L1281,L,299.5,309.8,1820,40.6,97,0,0,0,0,0,0
1282,L1282,L,298.2,307.9,1644,17.4,210,1,1,0,1,0,0
1283,L1283,L,298.0,306.9,1611,28.8,50,0,0,0,0,0,0
1284,M1284,M,299.1,311.1,1246,25.5,33,1,0,0,1,0,0
1285,L1285,L,298.6,308.7,1532,48.1,197,0,0,0,0,0,0
1286,L1286,L,301.2,310.5,1409,43.2,176,0,0,0,0,0,0
1287,L1287,L,304.2,312.8,1507,43.2,225,1,1,0,0,0,0
1288,H1288,H,299.0,310.3,1503,41.8,152,0,0,0,0,0,0
1289,L1289,L,302.8,313.5,1470,28.5,175,0,0,0,0,0,0
1290,M1290,M,301.0,310.1,1617,29.7,169,0,0,0,0,0,0
1291,M1291,M,300.4,313.1,1664,36.9,169,0,0,0,0,0,0
1292,M1292,M,299.1,309.7,1456,33.9,233,0,0,0,0,0,0
1293,L1293,L,305.0,317.0,1489,26.2,4,0,0,0,0,0,0
1294,M1294,M,297.7,308.7,1469,37.1,233,1,1,0,0,0,0
1295,L1295,L,299.0,308.7,1573,44.8,47,0,0,0,0,0,0
1296,L1296,L,301.8,310.4,1754,31.7,63,0,0,0,0,0,0
1297,L1297,L,296.8,307.2,1475,35.7,198,0,0,0,0,0,0
1298,H1298,H,302.2,312.1,1546,39.8,126,0,0,0,0,0,0
1299,L1299,L,299.9,309.3,1497,30.2,25,0,0,0,0,0,0
1300,L1300,L,301.9,312.6,1460,16.5,144,1,0,0,1,0,0
1301,M1301,M,299.0,309.0,1608,38.5,94,0,0,0,0,0,0
1302,L1302,L,298.9,308.9,1409,42.7,147,0,0,0,0,0,0
1303,H1303,H,296.5,307.9,1604,55.7,39,1,0,0,1,0,0
1304,L1304,L,300.9,311.4,1653,38.4,8,0,0,0,0,0,0
1305,L1305,L,302.5,312.4,1596,50.3,83,0,0,0,0,0,0
1306,L1306,L,305.5,316.8,1536,29.2,19,0,0,0,0,0,0
1307,M1307,M,297.3,308.0,1397,48.1,106,0,0,0,0,0,0
1308,L1308,L,299.4,310.7,1781,18.9,235,1,1,0,0,0,0
1309,M1309,M,299.0,310.8,1351,19.9,40,1,0,0,1,0,0
1310,L1310,L,301.1,309.9,1662,27.9,95,0,0,0,0,0,0
1311,L1311,L,302.4,313.4,1696,42.8,230,1,1,0,0,0,0
1312,L1312,L,300.3,309.7,1159,17.4,127,1,0,0,1,0,0
1313,L1313,L,296.7,305.3,1420,54.5,111,0,0,0,0,0,0
1314,L1314,L,297.8,306.7,1641,24.6,182,0,0,0,0,0,0
1315,M1315,M,297.8,306.2,1423,40.1,120,0,0,0,0,0,0
1316,H1316,H,300.7,310.3,1545,33.7,58,0,0,0,0,0,0
1317,M1317,M,300.0,308.6,1821,39.2,55,0,0,0,0,0,0
1318,L1318,L,295.4,306.3,1648,50.6,237,1,0,0,0,1,0
1319,L1319,L,299.4,309.2,1330,45.5,70,0,0,0,0,0,0
1320,M1320,M,301.8,312.5,1499,41.9,199,0,0,0,0,0,0
1321,L1321,L,299.4,309.8,1584,56.7,174,1,0,0,1,0,0
1322,L1322,L,298.8,308.2,1728,55.2,49,1,0,0,1,0,0
1323,H1323,H,301.1,310.4,1669,28.5,120,0,0,0,0,0,0
1324,M1324,M,300.8,310.1,1694,43.4,161,0,0,0,0,0,0
1325,H1325,H,298.1,306.6,1413,27.2,167,0,0,0,0,0,0
1326,L1326,L,301.1,309.5,1443,39.7,127,0,0,0,0,0,0
1327,L1327,L,297.3,307.0,1355,48.1,194,0,0,0,0,0,0
1328,L1328,L,300.0,310.7,1910,50.8,122,1,0,0,1,0,0
1329,M1329,M,301.4,310.2,1669,51.4,47,0,0,0,0,0,0
1330,L1330,L,304.3,313.8,1347,39.9,196,0,0,0,0,0,0
1331,H1331,H,298.2,308.2,1676,40.1,97,0,0,0,0,0,0
1332,H1332,H,297.7,307.5,1300,51.3,40,0,0,0,0,0,0
1333,L1333,L,301.9,310.9,1466,30.4,221,0,0,0,0,0,0
1334,L1334,L,300.1,310.8,1562,24.2,77,0,0,0,0,0,0
1335,L1335,L,300.3,310.2,1615,54.7,147,1,0,0,1,0,0
1336,L1336,L,299.0,309.0,1705,49.3,164,0,0,0,0,0,0
1337,H1337,H,302.7,314.4,1588,45.1,133,0,0,0,0,0,0
1338,M1338,M,302.0,310.0,1512,37.0,105,0,0,0,0,0,0
1339,L1339,L,299.6,308.4,1689,12.5,12,1,0,0,1,0,0
1340,L1340,L,301.3,313.7,1496,26.2,192,0,0,0,0,0,0
1341,L1341,L,303.0,313.8,1343,25.8,231,1,1,0,0,0,0
1342,M1342,M,299.7,309.4,1688,47.3,160,0,0,0,0,0,0
1343,L1343,L,300.2,308.8,1577,54.0,52,0,0,0,0,0,0
1344,L1344,L,298.7,308.7,1448,46.2,107,0,0,0,0,0,0
1345,M1345,M,301.4,312.1,1514,40.5,199,0,0,0,0,0,0
1346,M1346,M,302.3,312.6,1529,48.3,48,0,0,0,0,0,0
1347,L1347,L,295.1,304.2,1680,38.7,65,0,0,0,0,0,0
1348,H1348,H,302.7,314.1,1158,38.2,100,0,0,0,0,0,0
1349,M1349,M,299.2,310.6,1613,47.7,173,0,0,0,0,0,0
1350,L1350,L,301.2,310.0,1564,42.6,39,0,0,0,0,0,0
1351,L1351,L,300.1,308.9,1736,36.2,125,0,0,0,0,0,0
1352,L1352,L,297.6,306.4,1312,41.9,170,0,0,0,0,0,0
1353,L1353,L,297.3,305.3,1390,37.5,2,0,0,0,0,0,0
1354,L1354,L,301.2,311.4,1707,45.1,195,0,0,0,0,0,0
1355,M1355,M,296.8,305.8,1434,28.8,143,0,0,0,0,0,0
1356,H1356,H,299.7,307.7,1845,36.8,14,0,0,0,0,0,0
1357,H1357,H,300.6,310.9,1366,41.7,22,0,0,0,0,0,0
1358,M1358,M,297.6,307.2,1426,23.5,228,1,1,0,0,0,0
1359,L1359,L,301.8,311.9,1496,35.0,163,0,0,0,0,0,0
1360,L1360,L,298.8,307.9,1353,15.8,118,1,0,0,1,0,0
1361,H1361,H,299.4,309.0,1417,18.1,6,1,0,0,1,0,0
1362,L1362,L,301.4,310.8,1526,39.4,162,0,0,0,0,0,0
1363,L1363,L,300.6,312.4,1529,36.2,153,0,0,0,0,0,0
1364,L1364,L,300.9,311.6,1431,48.4,200,0,0,0,0,0,0
1365,L1365,L,300.6,310.3,1511,42.1,165,0,0,0,0,0,0
1366,L1366,L,298.3,307.0,1514,34.4,200,1,1,0,0,0,0
1367,H1367,H,299.6,309.2,1729,33.1,179,0,0,0,0,0,0
1368,L1368,L,298.5,308.5,1355,33.4,113,0,0,0,0,0,0
1369,L1369,L,301.1,312.2,1051,33.6,73,0,0,0,0,0,0
1370,L1370,L,299.5,308.1,1552,49.1,36,0,0,0,0,0,0
1371,L1371,L,295.5,305.8,1894,35.5,171,0,0,0,0,0,0
1372,L1372,L,302.6,311.9,1444,47.7,7,0,0,0,0,0,0
1373,M1373,M,297.2,306.8,1405,36.2,102,0,0,0,0,0,0
1374,L1374,L,298.8,311.2,1540,46.3,112,0,0,0,0,0,0
1375,M1375,M,299.1,309.4,1844,49.0,16,1,0,0,1,0,0
1376,L1376,L,302.4,312.5,1443,51.5,102,0,0,0,0,0,0
1377,L1377,L,299.2,311.2,1768,24.9,157,0,0,0,0,0,0
1378,M1378,M,304.3,314.2,1531,46.0,193,0,0,0,0,0,0
1379,L1379,L,299.3,308.6,1691,26.7,66,0,0,0,0,0,0
1380,H1380,H,300.9,312.5,1615,41.7,123,0,0,0,0,0,0
1381,L1381,L,297.4,306.0,1380,37.4,175,1,0,1,0,0,0
1382,M1382,M,296.7,306.1,1616,41.9,1,0,0,0,0,0,0
1383,L1383,L,300.3,310.6,1453,41.8,191,0,0,0,0,0,0
1384,M1384,M,298.9,308.7,1741,35.0,46,0,0,0,0,0,0
1385,L1385,L,299.4,310.8,1565,33.6,14,0,0,0,0,0,0
1386,L1386,L,301.7,314.3,1325,54.3,110,0,0,0,0,0,0
1387,L1387,L,301.2,310.4,1467,59.0,67,1,0,0,1,0,0
1388,H1388,H,303.9,313.9,1948,50.7,88,1,0,0,1,0,0
1389,L1389,L,296.0,306.8,1636,46.2,211,0,0,0,0,0,0
1390,M1390,M,296.9,306.5,1742,25.8,92,0,0,0,0,0,0
1391,L1391,L,299.2,309.7,1545,31.8,139,0,0,0,0,0,0
1392,L1392,L,298.7,307.7,1655,35.5,229,0,0,0,0,0,0
1393,L1393,L,299.0,308.0,1532,46.9,232,1,1,0,0,0,0
1394,L1394,L,299.9,310.9,1322,29.2,68,0,0,0,0,0,0
1395,M1395,M,298.9,307.7,1664,49.8,226,1,1,0,0,0,0
1396,L1396,L,301.7,311.4,1437,42.3,30,0,0,0,0,0,0
1397,M1397,M,298.3,308.2,1495,38.0,210,1,1,0,0,0,0
1398,L1398,L,300.1,312.0,1281,44.7,182,0,0,0,0,0,0
1399,M1399,M,301.7,311.3,1648,45.6,103,0,0,0,0,0,0
1400,L1400,L,300.7,311.1,1580,43.0,230,0,0,0,0,0,0
1401,L1401,L,301.6,311.2,1775,52.3,104,1,0,0,1,0,0
1402,M1402,M,300.8,310.4,1495,31.6,69,0,0,0,0,0,0
1403,L1403,L,301.6,311.3,1656,19.0,237,1,1,0,1,0,0
1404,M1404,M,303.2,311.6,1550,61.0,26,1,0,0,1,0,0
1405,M1405,M,302.3,313.8,1526,44.1,151,0,0,0,0,0,0
1406,M1406,M,296.1,305.7,1445,41.1,126,0,0,0,0,0,0
1407,M1407,M,298.3,307.8,1659,42.2,27,0,0,0,0,0,0
1408,L1408,L,300.2,310.8,1682,34.8,119,0,0,0,0,0,0
1409,L1409,L,301.5,310.5,1660,24.3,227,1,1,0,0,0,0
1410,L1410,L,300.7,310.0,1657,26.2,184,0,0,0,0,0,0
1411,L1411,L,300.9,309.2,1599,39.5,13,0,0,0,0,0,0
1412,L1412,L,299.6,305.9,1712,27.5,76,0,0,0,0,0,0
1413,L1413,L,299.8,310.3,1300,50.5,202,1,1,0,0,0,0
1414,L1414,L,304.2,313.9,1622,39.4,9,0,0,0,0,0,0
1415,H1415,H,301.4,310.3,1370,41.7,156,0,0,0,0,0,0
1416,L1416,L,299.9,310.2,1641,30.4,209,0,0,0,0,0,0
1417,L1417,L,300.3,311.6,1713,32.8,137,0,0,0,0,0,0
1418,M1418,M,301.8,312.2,1400,28.1,47,0,0,0,0,0,0
1419,M1419,M,299.3,310.0,1606,42.7,9,0,0,0,0,0,0
1420,M1420,M,297.8,306.9,1783,35.8,89,0,0,0,0,0,0
1421,M1421,M,299.8,310.4,1725,40.4,136,0,0,0,0,0,0
1422,M1422,M,302.1,312.4,1353,43.6,38,0,0,0,0,0,0
1423,M1423,M,301.0,311.6,1731,34.6,36,0,0,0,0,0,0
1424,H1424,H,300.6,311.1,1556,33.1,193,0,0,0,0,0,0
1425,L1425,L,304.5,314.3,2001,39.6,238,0,0,0,0,0,0
1426,L1426,L,299.3,308.0,1480,27.1,127,0,0,0,0,0,0
1427,L1427,L,299.5,309.9,1555,53.5,52,0,0,0,0,0,0
1428,L1428,L,301.3,310.0,1495,31.2,132,0,0,0,0,0,0
1429,L1429,L,298.9,308.6,1630,43.9,20,0,0,0,0,0,0
1430,H1430,H,301.9,312.6,1625,39.1,145,0,0,0,0,0,0
1431,L1431,L,304.7,314.7,1454,38.1,104,0,0,0,0,0,0
1432,H1432,H,298.3,309.0,1755,33.9,188,0,0,0,0,0,0
1433,M1433,M,299.3,311.2,1625,30.2,153,0,0,0,0,0,0
1434,H1434,H,300.6,312.2,1524,46.2,3,0,0,0,0,0,0
1435,M1435,M,300.4,311.7,1204,35.4,232,1,1,0,0,0,0
1436,L1436,L,300.7,310.5,1598,30.6,102,0,0,0,0,0,0
1437,L1437,L,300.3,310.7,1508,46.0,92,0,0,0,0,0,0
1438,L1438,L,298.8,309.4,1532,55.1,80,0,0,0,0,0,0
1439,M1439,M,300.9,310.3,1526,21.6,135,1,0,0,1,0,0
1440,L1440,L,298.3,308.4,1568,30.1,39,0,0,0,0,0,0
1441,L1441,L,300.6,309.8,1261,43.1,167,0,0,0,0,0,0
1442,L1442,L,299.3,308.1,1613,35.0,137,0,0,0,0,0,0
1443,M1443,M,304.3,312.2,1383,39.7,148,0,0,0,0,0,0
1444,L1444,L,298.7,309.1,1669,33.4,31,0,0,0,0,0,0
1445,L1445,L,298.7,310.0,1387,37.0,200,1,1,0,0,0,0
1446,M1446,M,298.4,308.3,1845,35.6,66,0,0,0,0,0,0
1447,M1447,M,300.1,309.8,1304,41.2,211,1,1,0,0,0,0
1448,L1448,L,303.8,314.5,1376,31.9,72,0,0,0,0,0,0
1449,L1449,L,299.1,309.2,1690,12.1,226,1,1,0,1,0,0
1450,M1450,M,297.9,310.3,1444,46.2,140,0,0,0,0,0,0
1451,H1451,H,300.9,309.1,1531,39.7,66,0,0,0,0,0,0
1452,L1452,L,302.3,311.8,1735,43.8,114,0,0,0,0,0,0
1453,H1453,H,302.2,310.8,1789,41.1,92,0,0,0,0,0,0
1454,L1454,L,303.7,312.3,1732,54.0,12,1,0,0,1,0,0
1455,L1455,L,303.0,314.0,1089,16.7,117,1,0,0,1,0,0
1456,L1456,L,298.2,309.8,1620,37.2,5,0,0,0,0,0,0
1457,L1457,L,297.9,308.7,1606,35.3,58,0,0,0,0,0,0
1458,L1458,L,298.4,308.2,1625,34.6,18,0,0,0,0,0,0
1459,M1459,M,300.0,310.7,1802,36.4,124,0,0,0,0,0,0
1460,L1460,L,302.2,314.7,1364,44.9,105,0,0,0,0,0,0
1461,H1461,H,296.9,307.9,1342,29.2,139,0,0,0,0,0,0
1462,M1462,M,298.9,307.0,1526,44.9,235,1,1,0,0,0,0
1463,L1463,L,298.6,309.5,1573,47.4,213,0,0,0,0,0,0
1464,L1464,L,297.8,308.8,1813,17.1,188,1,0,0,1,0,0
1465,H1465,H,300.7,311.1,1378,35.1,124,0,0,0,0,0,0
1466,M1466,M,300.0,310.8,1825,45.6,181,0,0,0,0,0,0
1467,H1467,H,302.5,314.1,1518,29.5,157,0,0,0,0,0,0
1468,M1468,M,302.7,315.1,1382,39.7,71,0,0,0,0,0,0
1469,L1469,L,299.2,309.2,1346,53.2,133,0,0,0,0,0,0
1470,L1470,L,299.7,309.2,1339,56.9,160,0,0,0,0,0,0
1471,M1471,M,298.4,309.7,1522,41.6,189,0,0,0,0,0,0
1472,L1472,L,298.3,308.5,1636,36.6,209,1,1,0,0,0,0
1473,M1473,M,298.5,309.6,1629,19.9,158,1,0,0,1,0,0
1474,L1474,L,300.3,310.4,1527,38.8,189,0,0,0,0,0,0
1475,L1475,L,298.6,307.6,1551,32.3,75,0,0,0,0,0,0
1476,L1476,L,301.3,312.3,1423,55.5,109,0,0,0,0,0,0
1477,H1477,H,298.2,308.9,1574,37.6,33,0,0,0,0,0,0
1478,M1478,M,302.1,313.4,1601,51.0,104,0,0,0,0,0,0
1479,L1479,L,299.5,311.3,1402,31.9,116,0,0,0,0,0,0
1480,L1480,L,298.1,307.9,1378,45.0,30,0,0,0,0,0,0
1481,M1481,M,301.0,312.5,1429,45.3,143,0,0,0,0,0,0
1482,M1482,M,298.9,309.3,1714,36.3,143,0,0,0,0,0,0
1483,M1483,M,302.4,313.4,1564,40.7,200,0,0,0,0,0,0
1484,L1484,L,300.1,308.2,1626,37.8,108,0,0,0,0,0,0
1485,L1485,L,300.4,311.2,1552,30.7,54,0,0,0,0,0,0
1486,L1486,L,301.9,310.8,1447,32.2,138,0,0,0,0,0,0
1487,L1487,L,299.1,308.8,1425,30.0,230,0,0,0,0,0,0
1488,M1488,M,300.7,310.8,1522,26.7,171,0,0,0,0,0,0
1489,M1489,M,301.6,313.6,1567,24.6,95,0,0,0,0,0,0
1490,L1490,L,297.4,306.5,1696,42.0,3,0,0,0,0,0,0
1491,L1491,L,299.7,309.3,1733,44.2,122,0,0,0,0,0,0
1492,L1492,L,304.2,313.4,1339,60.1,106,0,0,0,0,0,0
1493,M1493,M,302.1,311.2,1306,39.6,23,0,0,0,0,0,0
1494,M1494,M,302.1,311.6,1583,44.8,140,0,0,0,0,0,0
1495,H1495,H,301.7,311.4,1708,35.0,225,1,1,0,0,0,0
1496,H1496,H,298.8,306.3,1643,29.3,107,0,0,0,0,0,0
1497,H1497,H,300.5,310.4,1454,49.7,146,0,0,0,0,0,0
1498,L1498,L,298.4,308.9,1446,25.7,221,0,0,0,0,0,0
1499,M1499,M,304.3,314.1,1655,35.0,144,0,0,0,0,0,0
1500,L1500,L,297.7,306.4,1340,33.4,63,0,0,0,0,0,0
1501,M1501,M,301.4,311.0,1444,45.9,145,0,0,0,0,0,0
1502,M1502,M,297.4,306.4,1482,42.7,6,0,0,0,0,0,0
1503,L1503,L,299.2,308.4,1578,35.9,99,0,0,0,0,0,0
1504,M1504,M,298.5,308.7,1425,28.1,146,0,0,0,0,0,0
1505,L1505,L,304.0,313.7,1597,79.5,140,1,0,0,1,1,0
1506,M1506,M,301.4,310.5,1525,52.2,3,0,0,0,0,0,0
1507,M1507,M,299.9,311.3,1508,33.5,190,0,0,0,0,0,0
1508,L1508,L,299.3,309.0,1354,36.2,15,0,0,0,0,0,0
1509,L1509,L,298.6,307.1,1640,38.4,31,0,0,0,0,0,0
1510,M1510,M,301.9,311.2,1355,41.8,192,0,0,0,0,0,0
1511,L1511,L,297.0,306.4,1654,39.6,18,0,0,0,0,0,0
1512,L1512,L,297.9,308.0,1402,46.5,18,0,0,0,0,0,0
1513,L1513,L,298.4,309.5,1427,48.6,227,1,1,0,0,1,0
1514,L1514,L,302.6,313.0,1586,30.6,190,0,0,0,0,0,0
1515,L1515,L,301.1,313.4,1590,34.3,86,0,0,0,0,0,0
1516,L1516,L,298.0,308.0,1590,43.8,112,0,0,0,0,0,0
1517,L1517,L,298.2,310.5,1477,52.0,60,0,0,0,0,0,0
1518,M1518,M,300.2,311.8,1699,41.7,125,0,0,0,0,0,0
1519,M1519,M,303.9,314.0,1666,28.1,196,0,0,0,0,0,0
1520,L1520,L,299.2,310.4,1339,48.7,69,0,0,0,0,0,0
1521,L1521,L,298.1,308.6,1469,42.0,143,0,0,0,0,0,0
1522,L1522,L,301.7,311.1,1129,48.9,212,1,1,0,0,0,0
1523,L1523,L,296.5,306.3,1375,24.2,226,1,0,0,1,0,0
1524,L1524,L,299.9,310.1,1416,44.0,56,0,0,0,0,0,0
1525,L1525,L,299.1,310.1,1583,27.1,171,0,0,0,0,0,0
1526,L1526,L,301.7,311.2,1454,47.8,86,0,0,0,0,0,0
1527,M1527,M,299.0,308.7,1370,31.6,41,0,0,0,0,0,0
1528,L1528,L,299.7,306.4,1258,35.0,19,1,0,1,0,0,0
1529,H1529,H,301.8,312.9,1210,40.7,45,0,0,0,0,0,0
1530,M1530,M,303.0,313.4,1320,28.3,14,0,0,0,0,0,0
1531,M1531,M,300.7,311.6,1495,31.3,227,1,1,0,0,0,0
1532,M1532,M,302.3,311.3,1476,47.4,22,0,0,0,0,0,0
1533,M1533,M,295.9,306.6,1490,38.0,221,1,1,0,0,0,0
1534,L1534,L,302.1,313.3,1508,42.5,91,0,0,0,0,0,0
1535,L1535,L,300.1,309.9,1602,48.5,171,0,0,0,0,0,0
1536,M1536,M,300.9,312.2,1774,39.9,229,0,0,0,0,0,0
1537,H1537,H,299.1,307.5,1735,55.8,63,1,0,0,1,0,0
1538,L1538,L,299.6,309.4,1629,48.2,142,0,0,0,0,0,0
1539,L1539,L,301.7,313.7,1565,33.5,40,0,0,0,0,0,0
1540,L1540,L,304.7,313.1,1540,22.4,237,0,0,0,0,0,0
1541,L1541,L,299.9,308.7,1326,41.4,237,1,1,0,0,0,0
1542,L1542,L,299.5,308.3,1453,42.3,232,1,1,0,0,0,0
1543,L1543,L,299.8,311.2,1508,42.0,205,1,1,0,0,0,0
1544,H1544,H,304.6,313.7,1882,33.1,64,0,0,0,0,0,0
1545,L1545,L,299.0,308.0,1942,31.3,72,0,0,0,0,0,0
1546,M1546,M,300.1,310.7,1526,36.7,143,0,0,0,0,0,0
1547,M1547,M,298.9,307.4,1360,51.3,20,1,0,1,0,0,0
1548,L1548,L,298.8,308.5,1687,61.6,41,1,0,0,1,0,0
1549,M1549,M,296.2,305.4,1776,50.2,15,1,0,0,1,0,0
1550,M1550,M,298.6,307.9,1745,23.7,176,0,0,0,0,0,0
1551,L1551,L,299.9,310.5,1592,48.7,234,1,0,0,0,1,0
1552,L1552,L,300.0,310.8,1663,21.5,100,0,0,0,0,0,0
1553,H1553,H,302.6,311.5,1628,39.2,141,0,0,0,0,0,0
1554,L1554,L,302.1,310.5,1828,34.5,60,0,0,0,0,0,0
1555,L1555,L,297.2,308.3,1768,33.6,54,0,0,0,0,0,0
1556,M1556,M,296.4,305.8,1690,22.7,51,0,0,0,0,0,0
1557,L1557,L,304.3,314.5,1285,45.6,18,0,0,0,0,0,0
1558,L1558,L,299.4,311.7,1815,22.6,75,0,0,0,0,0,0
1559,M1559,M,298.6,309.4,1831,42.7,105,0,0,0,0,0,0
1560,M1560,M,302.0,311.1,1717,32.9,166,0,0,0,0,0,0
1561,L1561,L,300.9,309.0,1222,32.1,27,1,0,1,0,0,0
1562,M1562,M,298.4,308.9,1915,23.2,79,0,0,0,0,0,0
1563,L1563,L,303.3,312.8,1192,40.6,18,0,0,0,0,0,0
1564,L1564,L,302.6,312.7,1436,56.7,76,0,0,0,0,0,0
1565,M1565,M,299.8,309.6,1559,40.9,67,0,0,0,0,0,0
1566,H1566,H,304.4,314.3,1463,32.7,227,1,1,0,0,0,0
1567,L1567,L,300.7,312.8,1505,37.5,178,0,0,0,0,0,0
1568,M1568,M,301.6,311.8,1455,43.7,76,0,0,0,0,0,0
1569,L1569,L,302.5,312.1,1659,36.0,157,0,0,0,0,0,0
1570,L1570,L,300.1,310.1,1824,42.1,132,0,0,0,0,0,0
1571,L1571,L,297.9,306.6,1570,37.6,51,0,0,0,0,0,0
1572,L1572,L,299.8,310.0,1586,49.1,205,1,1,0,0,0,0
1573,M1573,M,299.4,307.8,1400,42.8,38,0,0,0,0,0,0
1574,L1574,L,303.0,314.5,1616,25.0,104,0,0,0,0,0,0
1575,L1575,L,301.2,311.4,1549,54.6,112,0,0,0,0,0,0
1576,M1576,M,301.2,312.0,1743,43.6,239,1,1,0,0,0,0
1577,M1577,M,298.7,310.0,1420,43.8,3,0,0,0,0,0,0
1578,M1578,M,299.3,310.6,1632,28.2,98,0,0,0,0,0,0
1579,L1579,L,300.0,309.3,1499,37.7,69,0,0,0,0,0,0
1580,M1580,M,302.0,312.4,1484,41.7,190,0,0,0,0,0,0
1581,L1581,L,296.9,308.4,1601,27.4,133,0,0,0,0,0,0
1582,L1582,L,300.4,312.7,1278,17.0,37,1,0,0,1,0,0
1583,M1583,M,298.7,310.2,1350,47.6,69,0,0,0,0,0,0
1584,L1584,L,302.3,312.4,1473,32.8,186,0,0,0,0,0,0
1585,L1585,L,298.8,308.6,1805,26.8,142,0,0,0,0,0,0
